09.10.2022 15:59:54 - PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
09.10.2022 15:59:54 - 64 bytes from 1.1.1.1: icmp_seq=1 ttl=60 time=0.701 ms
09.10.2022 15:59:55 - 64 bytes from 1.1.1.1: icmp_seq=2 ttl=60 time=0.808 ms
09.10.2022 15:59:56 - 64 bytes from 1.1.1.1: icmp_seq=3 ttl=60 time=0.740 ms
09.10.2022 15:59:57 - 64 bytes from 1.1.1.1: icmp_seq=4 ttl=60 time=0.804 ms
09.10.2022 15:59:58 - 64 bytes from 1.1.1.1: icmp_seq=5 ttl=60 time=0.805 ms
09.10.2022 15:59:59 - 64 bytes from 1.1.1.1: icmp_seq=6 ttl=60 time=0.757 ms
09.10.2022 16:00:00 - 64 bytes from 1.1.1.1: icmp_seq=7 ttl=60 time=0.773 ms
09.10.2022 16:00:01 - 64 bytes from 1.1.1.1: icmp_seq=8 ttl=60 time=0.808 ms
09.10.2022 16:00:02 - 64 bytes from 1.1.1.1: icmp_seq=9 ttl=60 time=0.737 ms
09.10.2022 16:00:03 - 64 bytes from 1.1.1.1: icmp_seq=10 ttl=60 time=0.717 ms
09.10.2022 16:00:04 - 64 bytes from 1.1.1.1: icmp_seq=11 ttl=60 time=0.761 ms
09.10.2022 16:00:05 - 64 bytes from 1.1.1.1: icmp_seq=12 ttl=60 time=0.789 ms
09.10.2022 16:00:06 - 64 bytes from 1.1.1.1: icmp_seq=13 ttl=60 time=0.758 ms
09.10.2022 16:00:07 - 64 bytes from 1.1.1.1: icmp_seq=14 ttl=60 time=0.759 ms
09.10.2022 16:00:08 - 64 bytes from 1.1.1.1: icmp_seq=15 ttl=60 time=0.725 ms
09.10.2022 16:00:09 - 64 bytes from 1.1.1.1: icmp_seq=16 ttl=60 time=0.837 ms
09.10.2022 16:00:10 - 64 bytes from 1.1.1.1: icmp_seq=17 ttl=60 time=0.767 ms
09.10.2022 16:00:11 - 64 bytes from 1.1.1.1: icmp_seq=18 ttl=60 time=0.701 ms
09.10.2022 16:00:12 - 64 bytes from 1.1.1.1: icmp_seq=19 ttl=60 time=0.773 ms
09.10.2022 16:00:13 - 64 bytes from 1.1.1.1: icmp_seq=20 ttl=60 time=0.707 ms
09.10.2022 16:00:14 - 64 bytes from 1.1.1.1: icmp_seq=21 ttl=60 time=0.883 ms
09.10.2022 16:00:15 - 64 bytes from 1.1.1.1: icmp_seq=22 ttl=60 time=0.877 ms
09.10.2022 16:00:16 - 64 bytes from 1.1.1.1: icmp_seq=23 ttl=60 time=0.809 ms
09.10.2022 16:00:17 - 64 bytes from 1.1.1.1: icmp_seq=24 ttl=60 time=0.722 ms
09.10.2022 16:00:18 - 64 bytes from 1.1.1.1: icmp_seq=25 ttl=60 time=0.842 ms
09.10.2022 16:00:19 - 64 bytes from 1.1.1.1: icmp_seq=26 ttl=60 time=0.804 ms
09.10.2022 16:00:20 - 64 bytes from 1.1.1.1: icmp_seq=27 ttl=60 time=0.846 ms
09.10.2022 16:00:21 - 64 bytes from 1.1.1.1: icmp_seq=28 ttl=60 time=0.730 ms
09.10.2022 16:00:22 - 64 bytes from 1.1.1.1: icmp_seq=29 ttl=60 time=0.756 ms
09.10.2022 16:00:23 - 64 bytes from 1.1.1.1: icmp_seq=30 ttl=60 time=0.686 ms
09.10.2022 16:00:24 - 64 bytes from 1.1.1.1: icmp_seq=31 ttl=60 time=0.850 ms
09.10.2022 16:00:25 - 64 bytes from 1.1.1.1: icmp_seq=32 ttl=60 time=0.765 ms
09.10.2022 16:00:27 - 64 bytes from 1.1.1.1: icmp_seq=33 ttl=60 time=0.880 ms
09.10.2022 16:00:28 - 64 bytes from 1.1.1.1: icmp_seq=34 ttl=60 time=0.806 ms
09.10.2022 16:00:29 - 64 bytes from 1.1.1.1: icmp_seq=35 ttl=60 time=0.773 ms
09.10.2022 16:00:30 - 64 bytes from 1.1.1.1: icmp_seq=36 ttl=60 time=0.693 ms
09.10.2022 16:00:31 - 64 bytes from 1.1.1.1: icmp_seq=37 ttl=60 time=0.736 ms
09.10.2022 16:00:32 - 64 bytes from 1.1.1.1: icmp_seq=38 ttl=60 time=0.748 ms
09.10.2022 16:00:33 - 64 bytes from 1.1.1.1: icmp_seq=39 ttl=60 time=0.789 ms
09.10.2022 16:00:34 - 64 bytes from 1.1.1.1: icmp_seq=40 ttl=60 time=0.853 ms
09.10.2022 16:00:35 - 64 bytes from 1.1.1.1: icmp_seq=41 ttl=60 time=0.837 ms
09.10.2022 16:00:36 - 64 bytes from 1.1.1.1: icmp_seq=42 ttl=60 time=0.821 ms
09.10.2022 16:00:37 - 64 bytes from 1.1.1.1: icmp_seq=43 ttl=60 time=0.856 ms
09.10.2022 16:00:38 - 64 bytes from 1.1.1.1: icmp_seq=44 ttl=60 time=0.828 ms
